FID,VolcanoNumber,VolcanoName,SO2_Kilotons,StartDate,EndDate,GeoLocation,Emission_ID
E3WebApp_Emissions.fid--4d9842f7_16247cd462d_-6dd4,211060,Etna,10,19790804,19790804,POINT (14.999 37.748),4
E3WebApp_Emissions.fid--4d9842f7_16247cd462d_-6dd3,211060,Etna,70,19800902,19800906,POINT (14.999 37.748),5
E3WebApp_Emissions.fid--4d9842f7_16247cd462d_-6dd2,211060,Etna,10,19861130,19861130,POINT (14.999 37.748),6
E3WebApp_Emissions.fid--4d9842f7_16247cd462d_-6dd1,211060,Etna,37,19890919,19890919,POINT (14.999 37.748),7
E3WebApp_Emissions.fid--4d9842f7_16247cd462d_-6dd0,211060,Etna,10,19900115,19900115,POINT (14.999 37.748),8
E3WebApp_Emissions.fid--4d9842f7_16247cd462d_-6dcf,211060,Etna,10,20010725,20010725,POINT (14.999 37.748),9
E3WebApp_Emissions.fid--4d9842f7_16247cd462d_-6dce,211060,Etna,80,20021027,20021027,POINT (14.999 37.748),10
E3WebApp_Emissions.fid--4d9842f7_16247cd462d_-6dcd,211060,Etna,9.3,20061116,20061121,POINT (14.999 37.748),11
E3WebApp_Emissions.fid--4d9842f7_16247cd462d_-6dcc,211060,Etna,10.5,20070329,20070411,POINT (14.999 37.748),12
E3WebApp_Emissions.fid--4d9842f7_16247cd462d_-6dcb,211060,Etna,6,20070429,20070507,POINT (14.999 37.748),13
E3WebApp_Emissions.fid--4d9842f7_16247cd462d_-6dca,211060,Etna,12,20070904,20070904,POINT (14.999 37.748),14
E3WebApp_Emissions.fid--4d9842f7_16247cd462d_-6dc9,211060,Etna,10,20071124,20071124,POINT (14.999 37.748),15
E3WebApp_Emissions.fid--4d9842f7_16247cd462d_-6dc8,211060,Etna,46.5,20080510,20080513,POINT (14.999 37.748),16
E3WebApp_Emissions.fid--4d9842f7_16247cd462d_-6dc7,211060,Etna,7,20110112,20110112,POINT (14.999 37.748),17
E3WebApp_Emissions.fid--4d9842f7_16247cd462d_-6dc6,211060,Etna,8,20110218,20110218,POINT (14.999 37.748),18
E3WebApp_Emissions.fid--4d9842f7_16247cd462d_-6dc5,211060,Etna,5,20110410,20110410,POINT (14.999 37.748),19
E3WebApp_Emissions.fid--4d9842f7_16247cd462d_-6dc4,211060,Etna,6,20110512,20110512,POINT (14.999 37.748),20
E3WebApp_Emissions.fid--4d9842f7_16247cd462d_-6dc3,211060,Etna,52.7,20110709,20111023,POINT (14.999 37.748),21
E3WebApp_Emissions.fid--4d9842f7_16247cd462d_-6dc2,211060,Etna,4.8,20111115,20111115,POINT (14.999 37.748),22
